GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,6.219,1.575,-22.168,2.883
4.000,1.400,-24.125,6.421,1.533,-21.976,3.240
4.000,1.400,-24.250,6.382,1.470,-22.085,3.219
4.000,1.400,-24.375,6.312,1.373,-22.388,3.048
4.000,1.400,-24.500,6.291,1.472,-22.393,3.113
4.000,1.400,-24.625,6.970,1.466,-21.982,3.977
4.000,1.400,-24.750,6.979,1.434,-22.125,3.970
4.000,1.400,-24.875,6.877,1.428,-22.461,3.756
4.000,1.400,-25.000,6.598,1.464,-22.617,3.526
4.000,1.400,-25.125,6.174,1.833,-22.453,3.472
4.000,1.400,-25.250,6.546,1.614,-23.821,2.928
4.000,1.400,-25.375,5.762,1.593,-22.699,3.210
4.000,1.400,-25.500,6.044,1.628,-23.397,2.942
4.000,1.400,-25.625,6.959,1.513,-22.535,4.280
4.000,1.400,-25.750,5.484,1.495,-22.603,3.480
4.000,1.400,-25.875,6.343,1.513,-23.614,3.258
4.000,1.400,-26.000,6.690,1.503,-22.258,4.609
4.000,1.400,-26.125,6.028,1.572,-22.884,3.827
4.000,1.400,-26.250,7.054,1.156,-22.444,4.886
4.000,1.400,-26.375,6.604,1.657,-23.627,3.795
4.000,1.400,-26.500,6.841,1.456,-22.674,4.766
4.000,1.400,-26.625,6.395,1.621,-23.810,3.703
4.000,1.400,-26.750,6.389,1.647,-23.543,4.007
4.000,1.400,-26.875,6.940,1.597,-23.478,4.497
4.000,1.400,-27.000,6.374,1.534,-23.646,4.112
4.000,1.400,-27.000,6.617,1.646,-23.246,4.582
4.113,1.400,-27.000,6.797,1.526,-23.705,4.252
4.225,1.400,-27.000,6.393,1.856,-25.124,2.903
4.338,1.400,-27.000,6.414,1.561,-24.206,3.485
4.450,1.400,-27.000,6.430,1.651,-24.577,3.139
4.563,1.400,-27.000,6.396,1.719,-23.833,3.674
4.675,1.400,-27.000,6.650,1.633,-24.555,3.151
4.788,1.400,-27.000,5.757,1.711,-24.406,2.787
4.900,1.400,-27.000,6.307,1.871,-25.255,2.290
5.013,1.400,-27.000,6.121,1.821,-25.860,1.644
5.125,1.400,-27.000,5.545,1.708,-26.421,0.779
5.238,1.400,-27.000,5.484,1.742,-26.789,0.471
5.350,1.400,-27.000,5.414,1.900,-26.184,0.959
5.463,1.400,-27.000,5.229,2.072,-26.507,0.866
5.575,1.400,-27.000,5.289,2.001,-26.742,0.715
5.688,1.400,-27.000,5.659,2.042,-26.358,0.908
5.800,1.400,-27.000,5.219,1.991,-25.766,1.487
5.913,1.400,-27.000,5.089,1.883,-26.645,1.019
6.025,1.400,-27.000,5.347,1.933,-26.396,1.053
6.138,1.400,-27.000,5.127,1.893,-26.273,1.339
6.250,1.400,-27.000,5.465,2.006,-27.030,0.992
6.363,1.400,-27.000,4.957,1.848,-26.424,1.584
6.475,1.400,-27.000,4.689,1.911,-27.218,1.870
6.588,1.400,-27.000,4.929,1.949,-26.993,1.747
6.700,1.400,-27.000,5.055,1.850,-26.764,1.722
6.700,1.400,-27.000,5.275,1.971,-26.787,1.550
6.700,1.400,-26.824,4.575,1.785,-27.176,2.188
6.700,1.400,-26.647,4.629,1.804,-26.849,2.120
6.700,1.400,-26.471,4.900,1.792,-26.316,1.849
6.700,1.400,-26.294,4.550,1.931,-26.895,2.295
6.700,1.400,-26.118,4.448,1.815,-26.616,2.344
6.700,1.400,-25.941,3.774,2.098,-27.005,3.191
6.700,1.400,-25.765,4.597,1.868,-26.265,2.212
6.700,1.400,-25.588,4.275,1.944,-27.102,2.910
6.700,1.400,-25.412,4.744,1.755,-26.686,2.361
6.700,1.400,-25.235,4.259,1.860,-26.747,2.908
6.700,1.400,-25.059,4.338,2.055,-26.924,3.080
6.700,1.400,-24.882,4.519,1.768,-25.678,2.351
6.700,1.400,-24.706,3.941,1.696,-25.716,2.953
6.700,1.400,-24.529,4.146,1.801,-26.220,3.089
6.700,1.400,-24.353,4.267,1.752,-25.854,2.880
6.700,1.400,-24.176,4.223,1.767,-25.904,3.042
6.700,1.400,-24.000,4.200,1.768,-25.690,3.040
6.700,1.400,-23.824,3.710,1.932,-25.778,3.611
6.700,1.400,-23.647,4.172,1.675,-25.344,3.057
6.700,1.400,-23.471,4.172,1.804,-25.142,3.058
6.700,1.400,-23.294,4.027,1.902,-25.304,3.382
6.700,1.400,-23.118,3.535,1.797,-24.538,3.492
6.700,1.400,-22.941,4.061,1.718,-25.297,3.552
6.700,1.400,-22.765,3.679,1.917,-24.483,3.514
6.700,1.400,-22.588,3.871,1.706,-24.687,3.535
6.700,1.400,-22.412,4.121,1.604,-24.617,3.399
6.700,1.400,-22.235,4.056,1.680,-24.718,3.638
6.700,1.400,-22.059,3.975,1.732,-24.696,3.806
6.700,1.400,-21.882,4.038,1.768,-24.646,3.855
6.700,1.400,-21.706,4.372,1.737,-23.826,3.167
6.700,1.400,-21.529,3.693,1.742,-24.528,4.260
6.700,1.400,-21.353,4.107,1.698,-24.751,4.285
6.700,1.400,-21.176,4.088,1.883,-24.426,4.197
6.700,1.400,-21.000,3.823,1.753,-24.440,4.498
