GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,5.888,1.633,-22.480,2.435
4.000,1.400,-24.125,6.094,1.616,-22.317,2.775
4.000,1.400,-24.250,5.982,1.604,-22.253,2.821
4.000,1.400,-24.375,6.223,1.618,-22.555,2.881
4.000,1.400,-24.500,6.115,1.671,-22.646,2.826
4.000,1.400,-24.625,6.778,1.442,-22.438,3.536
4.000,1.400,-24.750,6.831,1.440,-22.191,3.816
4.000,1.400,-24.875,6.544,1.532,-22.414,3.542
4.000,1.400,-25.000,6.251,1.461,-22.076,3.690
4.000,1.400,-25.125,6.327,1.841,-21.830,4.058
4.000,1.400,-25.250,6.523,1.620,-23.589,3.028
4.000,1.400,-25.375,5.831,1.711,-22.320,3.575
4.000,1.400,-25.500,6.045,1.510,-23.650,2.759
4.000,1.400,-25.625,6.708,1.389,-22.916,3.830
4.000,1.400,-25.750,5.441,1.724,-23.358,2.811
4.000,1.400,-25.875,6.469,1.514,-23.967,3.122
4.000,1.400,-26.000,6.190,1.418,-22.498,4.131
4.000,1.400,-26.125,5.847,1.659,-22.239,4.311
4.000,1.400,-26.250,7.218,1.196,-22.303,5.097
4.000,1.400,-26.375,6.457,1.805,-23.589,3.737
4.000,1.400,-26.500,6.399,1.511,-22.248,4.884
4.000,1.400,-26.625,5.876,1.596,-23.196,3.913
4.000,1.400,-26.750,5.820,1.471,-23.784,3.481
4.000,1.400,-26.875,6.623,1.359,-23.546,4.239
4.000,1.400,-27.000,6.350,1.634,-23.741,4.025
4.000,1.400,-27.000,6.129,1.650,-23.149,4.408
4.113,1.400,-27.000,6.645,1.476,-24.086,3.862
4.225,1.400,-27.000,6.463,1.599,-25.018,2.996
4.338,1.400,-27.000,5.986,1.451,-24.175,3.271
4.450,1.400,-27.000,6.285,1.724,-24.741,2.928
4.563,1.400,-27.000,5.884,1.582,-23.978,3.303
4.675,1.400,-27.000,6.562,1.702,-24.685,3.002
4.788,1.400,-27.000,5.511,1.582,-25.071,2.068
4.900,1.400,-27.000,5.704,1.663,-24.841,2.318
5.013,1.400,-27.000,5.943,1.647,-26.166,1.273
5.125,1.400,-27.000,5.493,1.682,-26.481,0.696
5.238,1.400,-27.000,5.489,1.648,-27.205,0.409
5.350,1.400,-27.000,5.318,1.852,-27.076,0.459
5.463,1.400,-27.000,5.310,2.082,-26.330,0.968
5.575,1.400,-27.000,5.348,1.931,-26.829,0.602
5.688,1.400,-27.000,5.748,2.251,-26.811,0.874
5.800,1.400,-27.000,4.797,1.888,-25.133,2.175
5.913,1.400,-27.000,5.079,1.946,-26.251,1.247
6.025,1.400,-27.000,4.863,1.931,-26.488,1.377
6.138,1.400,-27.000,4.705,1.805,-27.065,1.491
6.250,1.400,-27.000,5.224,1.963,-27.519,1.281
6.363,1.400,-27.000,4.628,1.760,-26.398,1.871
6.475,1.400,-27.000,4.607,1.880,-27.253,1.945
6.588,1.400,-27.000,4.756,1.979,-26.973,1.921
6.700,1.400,-27.000,5.475,1.715,-26.323,1.435
6.700,1.400,-27.000,5.029,1.953,-26.732,1.780
6.700,1.400,-26.824,4.400,1.609,-27.209,2.342
6.700,1.400,-26.647,4.759,1.772,-27.367,2.103
6.700,1.400,-26.471,4.860,1.925,-26.579,1.916
6.700,1.400,-26.294,4.760,1.862,-26.675,2.031
6.700,1.400,-26.118,4.908,1.758,-25.563,1.910
6.700,1.400,-25.941,4.944,2.099,-26.339,1.931
6.700,1.400,-25.765,4.740,1.710,-26.430,2.093
6.700,1.400,-25.588,4.674,1.750,-26.667,2.322
6.700,1.400,-25.412,4.968,1.688,-26.609,2.126
6.700,1.400,-25.235,4.496,1.832,-26.393,2.527
6.700,1.400,-25.059,4.754,1.891,-26.637,2.553
6.700,1.400,-24.882,4.992,1.828,-26.207,2.204
6.700,1.400,-24.706,3.566,1.745,-25.657,3.293
6.700,1.400,-24.529,4.200,1.874,-26.423,3.172
6.700,1.400,-24.353,4.371,1.783,-25.607,2.672
6.700,1.400,-24.176,4.023,1.737,-26.036,3.277
6.700,1.400,-24.000,4.183,1.618,-26.071,3.267
6.700,1.400,-23.824,3.808,1.805,-25.823,3.539
6.700,1.400,-23.647,4.095,1.948,-25.887,3.479
6.700,1.400,-23.471,3.726,1.873,-25.716,3.757
6.700,1.400,-23.294,3.680,1.781,-25.134,3.557
6.700,1.400,-23.118,3.353,2.010,-25.129,3.952
6.700,1.400,-22.941,3.663,1.875,-25.195,3.812
6.700,1.400,-22.765,3.524,1.848,-25.431,4.171
6.700,1.400,-22.588,3.969,1.849,-25.443,3.976
6.700,1.400,-22.412,4.343,1.586,-25.148,3.616
6.700,1.400,-22.235,3.997,1.834,-25.420,4.200
6.700,1.400,-22.059,4.172,1.661,-24.999,3.886
6.700,1.400,-21.882,3.782,1.768,-25.183,4.421
6.700,1.400,-21.706,4.226,1.837,-24.126,3.488
6.700,1.400,-21.529,3.649,1.888,-24.939,4.601
6.700,1.400,-21.353,3.916,1.789,-25.415,4.940
6.700,1.400,-21.176,4.128,1.894,-25.147,4.757
6.700,1.400,-21.000,3.991,1.767,-24.330,4.308
