GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,6.499,1.587,-21.935,3.247
4.000,1.400,-24.125,6.630,1.496,-22.234,3.241
4.000,1.400,-24.250,6.699,1.402,-22.105,3.448
4.000,1.400,-24.375,6.552,1.513,-22.858,2.971
4.000,1.400,-24.500,6.702,1.609,-21.991,3.693
4.000,1.400,-24.625,6.996,1.578,-21.676,4.208
4.000,1.400,-24.750,7.056,1.529,-22.222,3.968
4.000,1.400,-24.875,6.737,1.416,-22.680,3.508
4.000,1.400,-25.000,6.699,1.430,-22.752,3.512
4.000,1.400,-25.125,6.352,1.488,-22.630,3.430
4.000,1.400,-25.250,6.511,1.523,-23.533,3.044
4.000,1.400,-25.375,5.509,1.771,-23.393,2.518
4.000,1.400,-25.500,6.260,1.643,-23.915,2.771
4.000,1.400,-25.625,6.892,1.673,-22.606,4.190
4.000,1.400,-25.750,5.143,1.683,-22.676,3.292
4.000,1.400,-25.875,6.301,1.496,-24.159,2.872
4.000,1.400,-26.000,6.884,1.535,-22.656,4.418
4.000,1.400,-26.125,5.651,1.634,-23.282,3.295
4.000,1.400,-26.250,7.289,1.586,-22.449,5.030
4.000,1.400,-26.375,6.629,1.606,-23.425,3.956
4.000,1.400,-26.500,7.053,1.559,-22.720,4.861
4.000,1.400,-26.625,6.557,1.632,-23.485,4.056
4.000,1.400,-26.750,6.679,1.753,-24.023,3.839
4.000,1.400,-26.875,6.806,1.488,-24.116,3.937
4.000,1.400,-27.000,6.992,1.478,-24.162,4.125
4.000,1.400,-27.000,6.566,1.756,-23.803,4.115
4.113,1.400,-27.000,6.757,1.550,-24.038,3.973
4.225,1.400,-27.000,6.769,1.572,-24.284,3.726
4.338,1.400,-27.000,6.734,1.585,-24.139,3.737
4.450,1.400,-27.000,6.540,1.733,-24.838,3.026
4.563,1.400,-27.000,6.918,1.547,-24.083,3.752
4.675,1.400,-27.000,7.140,1.493,-24.070,3.830
4.788,1.400,-27.000,6.004,1.814,-24.466,2.841
4.900,1.400,-27.000,6.554,1.630,-24.471,3.031
5.013,1.400,-27.000,6.289,1.707,-25.216,2.215
5.125,1.400,-27.000,5.852,1.859,-25.573,1.666
5.238,1.400,-27.000,5.942,2.017,-26.093,1.304
5.350,1.400,-27.000,5.574,1.812,-25.809,1.280
5.463,1.400,-27.000,5.548,1.785,-25.658,1.398
5.575,1.400,-27.000,5.199,2.140,-26.523,0.957
5.688,1.400,-27.000,5.581,1.771,-25.804,1.256
5.800,1.400,-27.000,5.272,1.721,-25.380,1.733
5.913,1.400,-27.000,5.234,1.772,-26.216,1.102
6.025,1.400,-27.000,5.120,1.804,-26.231,1.255
6.138,1.400,-27.000,5.311,1.882,-26.766,0.984
6.250,1.400,-27.000,5.275,1.801,-26.583,1.134
6.363,1.400,-27.000,5.158,1.808,-26.188,1.509
6.475,1.400,-27.000,4.846,1.891,-26.317,1.834
6.588,1.400,-27.000,5.146,1.997,-26.726,1.584
6.700,1.400,-27.000,5.230,1.922,-26.831,1.569
6.700,1.400,-27.000,5.095,1.980,-26.839,1.715
6.700,1.400,-26.824,4.826,1.951,-26.716,1.956
6.700,1.400,-26.647,4.499,2.060,-26.946,2.317
6.700,1.400,-26.471,4.592,2.044,-26.578,2.207
6.700,1.400,-26.294,4.535,2.009,-26.836,2.313
6.700,1.400,-26.118,4.268,1.851,-26.391,2.489
6.700,1.400,-25.941,4.031,1.715,-26.878,2.846
6.700,1.400,-25.765,4.231,1.856,-26.376,2.584
6.700,1.400,-25.588,4.350,1.918,-27.102,2.843
6.700,1.400,-25.412,3.819,1.890,-26.839,3.253
6.700,1.400,-25.235,3.863,2.155,-27.005,3.427
6.700,1.400,-25.059,4.517,2.031,-26.921,2.938
6.700,1.400,-24.882,4.596,1.804,-25.757,2.314
6.700,1.400,-24.706,4.311,1.774,-25.925,2.708
6.700,1.400,-24.529,4.518,1.806,-26.310,2.845
6.700,1.400,-24.353,4.179,1.828,-25.405,2.765
6.700,1.400,-24.176,3.901,1.922,-25.427,3.110
6.700,1.400,-24.000,4.197,1.766,-25.440,2.911
6.700,1.400,-23.824,3.865,1.731,-25.673,3.401
6.700,1.400,-23.647,4.395,1.767,-25.526,2.997
6.700,1.400,-23.471,4.318,1.831,-24.832,2.777
6.700,1.400,-23.294,4.238,1.744,-24.444,2.739
6.700,1.400,-23.118,4.047,1.745,-24.552,3.035
6.700,1.400,-22.941,4.045,1.782,-24.451,3.078
6.700,1.400,-22.765,3.738,1.789,-24.755,3.589
6.700,1.400,-22.588,4.015,1.709,-24.075,3.084
6.700,1.400,-22.412,4.655,1.866,-24.917,3.267
6.700,1.400,-22.235,4.654,1.825,-24.418,3.022
6.700,1.400,-22.059,4.394,1.570,-23.904,2.959
6.700,1.400,-21.882,3.918,1.652,-24.586,3.887
6.700,1.400,-21.706,4.648,1.623,-23.902,3.014
6.700,1.400,-21.529,4.284,1.710,-23.782,3.318
6.700,1.400,-21.353,4.196,1.903,-24.825,4.310
6.700,1.400,-21.176,4.160,1.711,-24.258,4.005
6.700,1.400,-21.000,3.784,1.863,-23.978,4.193
