GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,6.238,1.424,-22.075,2.952
4.000,1.400,-24.125,6.539,1.368,-21.624,3.564
4.000,1.400,-24.250,6.473,1.461,-21.735,3.528
4.000,1.400,-24.375,6.317,1.397,-22.588,2.926
4.000,1.400,-24.500,6.484,1.358,-22.576,3.142
4.000,1.400,-24.625,7.239,1.327,-21.802,4.298
4.000,1.400,-24.750,7.227,1.383,-22.377,4.006
4.000,1.400,-24.875,6.498,1.492,-23.067,3.085
4.000,1.400,-25.000,6.555,1.460,-22.624,3.489
4.000,1.400,-25.125,6.674,1.590,-22.662,3.641
4.000,1.400,-25.250,6.420,1.616,-23.759,2.850
4.000,1.400,-25.375,5.147,1.548,-23.440,2.254
4.000,1.400,-25.500,6.177,1.514,-23.569,2.912
4.000,1.400,-25.625,7.045,1.412,-22.920,4.073
4.000,1.400,-25.750,5.284,1.724,-22.773,3.258
4.000,1.400,-25.875,6.680,1.366,-23.239,3.759
4.000,1.400,-26.000,6.428,1.496,-22.860,3.970
4.000,1.400,-26.125,5.417,1.729,-22.946,3.496
4.000,1.400,-26.250,7.276,1.444,-22.526,4.960
4.000,1.400,-26.375,7.178,1.501,-23.379,4.369
4.000,1.400,-26.500,7.160,1.399,-22.438,5.147
4.000,1.400,-26.625,6.689,1.667,-23.821,3.894
4.000,1.400,-26.750,7.258,1.401,-24.905,3.744
4.000,1.400,-26.875,6.394,1.514,-24.189,3.599
4.000,1.400,-27.000,6.871,1.344,-23.202,4.761
4.000,1.400,-27.000,6.632,1.546,-23.699,4.224
4.113,1.400,-27.000,6.953,1.520,-24.181,4.004
4.225,1.400,-27.000,6.491,1.637,-24.848,3.134
4.338,1.400,-27.000,6.377,1.565,-24.690,3.086
4.450,1.400,-27.000,6.006,1.630,-24.237,3.180
4.563,1.400,-27.000,6.483,1.523,-24.018,3.549
4.675,1.400,-27.000,6.755,1.571,-24.212,3.483
4.788,1.400,-27.000,5.876,1.514,-24.342,2.875
4.900,1.400,-27.000,6.293,1.668,-24.540,2.840
5.013,1.400,-27.000,6.864,1.491,-24.370,3.218
5.125,1.400,-27.000,6.493,1.825,-25.348,2.187
5.238,1.400,-27.000,5.715,1.557,-25.875,1.232
5.350,1.400,-27.000,5.681,1.850,-24.373,2.686
5.463,1.400,-27.000,6.308,1.642,-24.969,2.213
5.575,1.400,-27.000,5.567,1.712,-25.841,1.200
5.688,1.400,-27.000,6.267,1.718,-25.490,1.649
5.800,1.400,-27.000,4.867,1.642,-25.428,1.844
5.913,1.400,-27.000,4.939,1.692,-25.303,1.978
6.025,1.400,-27.000,4.921,1.845,-25.651,1.800
6.138,1.400,-27.000,4.942,1.936,-25.928,1.693
6.250,1.400,-27.000,5.188,1.793,-26.869,1.140
6.363,1.400,-27.000,4.958,1.761,-25.167,2.337
6.475,1.400,-27.000,4.924,1.756,-27.245,1.610
6.588,1.400,-27.000,5.040,1.837,-26.266,1.768
6.700,1.400,-27.000,4.840,1.763,-26.384,1.993
6.700,1.400,-27.000,4.635,1.716,-26.306,2.201
6.700,1.400,-26.824,4.057,1.763,-26.214,2.737
6.700,1.400,-26.647,4.864,1.798,-26.149,1.943
6.700,1.400,-26.471,5.049,1.714,-25.825,1.801
6.700,1.400,-26.294,4.237,1.653,-26.143,2.481
6.700,1.400,-26.118,4.696,1.840,-26.206,2.053
6.700,1.400,-25.941,4.352,1.824,-26.509,2.453
6.700,1.400,-25.765,4.151,1.725,-26.355,2.637
6.700,1.400,-25.588,4.336,1.685,-26.790,2.667
6.700,1.400,-25.412,4.743,1.643,-26.129,2.099
6.700,1.400,-25.235,3.851,1.854,-26.997,3.380
6.700,1.400,-25.059,4.893,1.871,-27.146,2.800
6.700,1.400,-24.882,4.262,1.687,-25.556,2.545
6.700,1.400,-24.706,4.225,1.843,-25.407,2.610
6.700,1.400,-24.529,4.680,1.637,-26.068,2.550
6.700,1.400,-24.353,3.874,1.842,-25.272,3.005
6.700,1.400,-24.176,3.788,1.770,-25.479,3.211
6.700,1.400,-24.000,4.357,1.791,-25.809,2.986
6.700,1.400,-23.824,4.035,1.655,-25.549,3.185
6.700,1.400,-23.647,4.174,1.805,-25.357,3.077
6.700,1.400,-23.471,4.193,1.864,-24.466,2.737
6.700,1.400,-23.294,3.903,1.678,-25.053,3.316
6.700,1.400,-23.118,3.883,1.766,-24.043,2.987
6.700,1.400,-22.941,4.163,1.684,-25.029,3.298
6.700,1.400,-22.765,3.911,1.737,-24.169,3.141
6.700,1.400,-22.588,3.956,1.738,-24.366,3.287
6.700,1.400,-22.412,4.387,1.750,-24.475,3.119
6.700,1.400,-22.235,4.446,1.671,-24.555,3.246
6.700,1.400,-22.059,4.348,1.698,-25.149,3.895
6.700,1.400,-21.882,3.921,1.705,-24.064,3.546
6.700,1.400,-21.706,4.267,1.697,-23.714,3.169
6.700,1.400,-21.529,3.997,1.672,-23.505,3.359
6.700,1.400,-21.353,4.333,1.701,-24.185,3.703
6.700,1.400,-21.176,4.391,1.828,-23.415,3.244
6.700,1.400,-21.000,3.988,1.811,-24.582,4.512
