GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.086,1.989,-23.995,0.595
4.000,1.400,-24.125,3.897,2.108,-24.640,0.882
4.000,1.400,-24.250,4.126,1.806,-24.175,0.432
4.000,1.400,-24.375,3.890,1.827,-24.363,0.441
4.000,1.400,-24.500,4.556,2.002,-24.688,0.841
4.000,1.400,-24.625,3.961,1.776,-24.217,0.557
4.000,1.400,-24.750,3.944,2.041,-24.520,0.684
4.000,1.400,-24.875,3.955,1.795,-24.291,0.706
4.000,1.400,-25.000,3.803,1.880,-25.079,0.525
4.000,1.400,-25.125,3.798,1.923,-24.963,0.584
4.000,1.400,-25.250,3.941,1.851,-25.505,0.521
4.000,1.400,-25.375,4.306,1.922,-24.808,0.829
4.000,1.400,-25.500,4.067,1.778,-25.031,0.606
4.000,1.400,-25.625,3.990,2.023,-24.759,1.067
4.000,1.400,-25.750,4.093,2.031,-25.461,0.700
4.000,1.400,-25.875,3.999,2.125,-25.856,0.725
4.000,1.400,-26.000,3.797,2.163,-25.952,0.791
4.000,1.400,-26.125,3.984,1.977,-25.402,0.926
4.000,1.400,-26.250,4.104,1.979,-26.062,0.618
4.000,1.400,-26.375,3.920,1.888,-25.813,0.748
4.000,1.400,-26.500,4.242,1.898,-25.974,0.764
4.000,1.400,-26.625,3.900,2.157,-26.745,0.773
4.000,1.400,-26.750,3.751,2.030,-26.773,0.678
4.000,1.400,-26.875,4.453,2.141,-27.050,0.886
4.000,1.400,-27.000,3.990,2.106,-26.941,0.709
4.000,1.400,-27.000,4.013,2.029,-26.876,0.641
4.113,1.400,-27.000,4.192,1.996,-27.101,0.610
4.225,1.400,-27.000,4.292,2.120,-26.751,0.765
4.338,1.400,-27.000,4.546,2.017,-26.948,0.653
4.450,1.400,-27.000,4.467,2.197,-27.081,0.801
4.563,1.400,-27.000,4.329,2.086,-26.928,0.729
4.675,1.400,-27.000,4.913,2.155,-27.329,0.857
4.788,1.400,-27.000,4.375,2.135,-26.933,0.845
4.900,1.400,-27.000,4.644,1.973,-27.307,0.699
5.013,1.400,-27.000,4.499,2.055,-27.075,0.836
5.125,1.400,-27.000,4.602,2.058,-26.621,0.922
5.238,1.400,-27.000,5.088,2.021,-27.065,0.642
5.350,1.400,-27.000,5.127,2.198,-27.329,0.892
5.463,1.400,-27.000,5.215,2.166,-27.009,0.806
5.575,1.400,-27.000,5.400,2.072,-27.385,0.794
5.688,1.400,-27.000,5.065,2.138,-26.856,0.976
5.800,1.400,-27.000,5.257,1.974,-26.181,1.138
5.913,1.400,-27.000,5.014,1.987,-27.314,1.118
6.025,1.400,-27.000,5.494,1.947,-26.700,0.819
6.138,1.400,-27.000,5.340,2.006,-25.811,1.554
6.250,1.400,-27.000,5.411,1.937,-26.046,1.379
6.363,1.400,-27.000,5.656,1.999,-26.708,0.971
6.475,1.400,-27.000,6.040,1.949,-26.152,1.100
6.588,1.400,-27.000,5.864,1.927,-26.114,1.259
6.700,1.400,-27.000,6.121,2.088,-26.377,1.094
6.700,1.400,-27.000,6.135,1.934,-26.130,1.167
6.700,1.400,-26.824,5.990,1.909,-24.977,2.043
6.700,1.400,-26.647,6.272,1.982,-25.534,1.326
6.700,1.400,-26.471,6.276,1.839,-24.658,1.912
6.700,1.400,-26.294,6.462,1.924,-25.970,0.660
6.700,1.400,-26.118,6.270,1.917,-25.433,0.960
6.700,1.400,-25.941,6.168,1.989,-24.699,1.474
6.700,1.400,-25.765,5.959,1.945,-24.858,1.291
6.700,1.400,-25.588,6.743,1.961,-24.343,1.366
6.700,1.400,-25.412,6.144,1.813,-24.136,1.452
6.700,1.400,-25.235,6.441,1.825,-24.101,1.239
6.700,1.400,-25.059,6.529,1.873,-23.641,1.504
6.700,1.400,-24.882,6.364,1.834,-23.533,1.457
6.700,1.400,-24.706,6.280,1.841,-23.993,0.937
6.700,1.400,-24.529,6.846,1.842,-23.395,1.226
6.700,1.400,-24.353,6.954,1.806,-23.545,0.939
6.700,1.400,-24.176,6.828,1.923,-22.813,1.466
6.700,1.400,-24.000,5.783,1.900,-23.607,1.116
6.700,1.400,-23.824,6.462,1.795,-22.625,1.284
6.700,1.400,-23.647,5.414,1.985,-23.584,1.414
6.700,1.400,-23.471,6.126,1.953,-22.285,1.429
6.700,1.400,-23.294,6.108,1.861,-22.358,1.199
6.700,1.400,-23.118,6.277,1.740,-23.486,0.656
6.700,1.400,-22.941,5.588,1.904,-22.960,1.221
6.700,1.400,-22.765,5.853,1.829,-23.554,1.235
6.700,1.400,-22.588,5.811,1.907,-22.461,1.031
6.700,1.400,-22.412,6.528,1.902,-22.439,0.532
6.700,1.400,-22.235,6.445,1.820,-22.442,0.533
6.700,1.400,-22.059,6.215,1.953,-22.282,0.769
6.700,1.400,-21.882,6.263,1.808,-22.627,0.955
6.700,1.400,-21.706,6.625,1.826,-22.206,0.661
6.700,1.400,-21.529,6.672,1.835,-22.363,0.940
6.700,1.400,-21.353,6.442,1.834,-21.983,0.808
6.700,1.400,-21.176,6.588,1.784,-22.127,1.031
6.700,1.400,-21.000,6.419,1.815,-21.616,0.794
