GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,3.891,1.845,-23.972,0.459
4.000,1.400,-24.125,4.201,1.735,-23.656,0.610
4.000,1.400,-24.250,4.100,1.802,-23.999,0.484
4.000,1.400,-24.375,4.167,1.910,-24.009,0.650
4.000,1.400,-24.500,3.770,1.780,-24.231,0.520
4.000,1.400,-24.625,4.294,1.733,-23.601,1.116
4.000,1.400,-24.750,4.045,1.755,-24.528,0.421
4.000,1.400,-24.875,4.069,1.750,-23.791,1.141
4.000,1.400,-25.000,3.633,1.733,-24.670,0.595
4.000,1.400,-25.125,4.239,1.640,-23.947,1.226
4.000,1.400,-25.250,4.464,1.758,-24.240,1.168
4.000,1.400,-25.375,3.921,1.720,-24.763,0.695
4.000,1.400,-25.500,4.390,1.650,-24.332,1.256
4.000,1.400,-25.625,4.059,1.789,-24.836,0.882
4.000,1.400,-25.750,3.971,1.716,-24.454,1.334
4.000,1.400,-25.875,4.161,1.799,-25.246,0.762
4.000,1.400,-26.000,3.788,1.762,-25.175,0.925
4.000,1.400,-26.125,4.189,1.846,-24.747,1.461
4.000,1.400,-26.250,4.341,1.835,-25.361,1.047
4.000,1.400,-26.375,3.848,1.811,-25.630,0.865
4.000,1.400,-26.500,4.046,1.740,-25.775,0.802
4.000,1.400,-26.625,3.824,1.603,-25.499,1.158
4.000,1.400,-26.750,4.160,1.830,-25.833,1.025
4.000,1.400,-26.875,4.593,1.769,-26.202,0.970
4.000,1.400,-27.000,4.269,1.651,-26.372,0.728
4.000,1.400,-27.000,4.601,1.718,-26.088,1.137
4.113,1.400,-27.000,4.619,1.786,-26.538,0.787
4.225,1.400,-27.000,4.735,1.643,-26.017,1.134
4.338,1.400,-27.000,4.551,1.895,-26.162,0.996
4.450,1.400,-27.000,4.505,1.677,-26.651,0.449
4.563,1.400,-27.000,4.658,1.751,-26.594,0.545
4.675,1.400,-27.000,4.530,1.755,-25.847,1.216
4.788,1.400,-27.000,4.726,1.856,-26.133,0.981
4.900,1.400,-27.000,4.441,1.722,-26.515,0.741
5.013,1.400,-27.000,4.709,1.803,-26.409,0.778
5.125,1.400,-27.000,4.788,1.774,-26.497,0.711
5.238,1.400,-27.000,4.589,1.806,-26.580,0.873
5.350,1.400,-27.000,4.352,1.747,-26.371,1.229
5.463,1.400,-27.000,4.488,1.745,-25.935,1.484
5.575,1.400,-27.000,5.107,1.851,-26.143,1.076
5.688,1.400,-27.000,5.062,1.734,-26.292,1.002
5.800,1.400,-27.000,4.912,1.714,-25.300,1.943
5.913,1.400,-27.000,4.773,1.774,-25.628,1.823
6.025,1.400,-27.000,4.812,1.734,-25.384,2.048
6.138,1.400,-27.000,5.878,1.950,-25.758,1.383
6.250,1.400,-27.000,5.652,1.909,-25.395,1.787
6.363,1.400,-27.000,6.111,1.937,-25.511,1.603
6.475,1.400,-27.000,6.277,1.792,-25.442,1.619
6.588,1.400,-27.000,6.488,1.644,-24.877,2.139
6.700,1.400,-27.000,6.493,1.611,-24.625,2.393
6.700,1.400,-27.000,6.639,1.617,-24.910,2.102
6.700,1.400,-26.824,6.292,1.692,-24.812,2.073
6.700,1.400,-26.647,6.396,1.537,-24.424,2.248
6.700,1.400,-26.471,6.239,1.559,-24.347,2.179
6.700,1.400,-26.294,6.524,1.559,-24.602,1.709
6.700,1.400,-26.118,6.585,1.472,-24.418,1.705
6.700,1.400,-25.941,6.465,1.677,-25.001,1.008
6.700,1.400,-25.765,6.753,1.565,-24.277,1.498
6.700,1.400,-25.588,6.465,1.473,-24.401,1.212
6.700,1.400,-25.412,6.561,1.590,-24.109,1.324
6.700,1.400,-25.235,6.715,1.643,-23.480,1.772
6.700,1.400,-25.059,6.693,1.621,-23.796,1.283
6.700,1.400,-24.882,7.189,1.514,-23.574,1.401
6.700,1.400,-24.706,6.886,1.551,-24.373,0.411
6.700,1.400,-24.529,6.860,1.634,-24.104,0.511
6.700,1.400,-24.353,6.522,1.695,-23.459,0.958
6.700,1.400,-24.176,6.990,1.411,-22.318,1.881
6.700,1.400,-24.000,5.469,1.760,-22.864,1.713
6.700,1.400,-23.824,6.948,1.364,-22.132,1.710
6.700,1.400,-23.647,5.775,1.594,-23.068,1.109
6.700,1.400,-23.471,5.708,1.603,-22.923,1.152
6.700,1.400,-23.294,6.847,1.548,-22.543,0.779
6.700,1.400,-23.118,6.225,1.480,-23.646,0.715
6.700,1.400,-22.941,4.722,1.676,-23.289,2.027
6.700,1.400,-22.765,6.472,1.599,-23.649,0.935
6.700,1.400,-22.588,6.581,1.248,-22.132,0.496
6.700,1.400,-22.412,6.642,1.433,-22.092,0.327
6.700,1.400,-22.235,6.365,1.611,-22.755,0.653
6.700,1.400,-22.059,6.657,1.511,-22.495,0.452
6.700,1.400,-21.882,6.884,1.526,-22.004,0.254
6.700,1.400,-21.706,6.663,1.239,-22.283,0.600
6.700,1.400,-21.529,6.255,1.500,-22.291,0.888
6.700,1.400,-21.353,6.622,1.402,-22.701,1.351
6.700,1.400,-21.176,6.485,1.415,-21.891,0.746
6.700,1.400,-21.000,6.446,1.358,-22.322,1.346
