GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.396,1.745,-23.558,0.687
4.000,1.400,-24.125,4.365,1.923,-24.321,0.667
4.000,1.400,-24.250,4.497,1.998,-24.105,0.791
4.000,1.400,-24.375,4.376,1.895,-24.240,0.636
4.000,1.400,-24.500,4.616,1.855,-24.105,0.862
4.000,1.400,-24.625,4.490,1.927,-24.014,0.944
4.000,1.400,-24.750,4.508,1.927,-24.242,0.891
4.000,1.400,-24.875,4.247,1.857,-24.497,0.643
4.000,1.400,-25.000,4.599,1.798,-24.721,0.771
4.000,1.400,-25.125,4.366,2.005,-24.509,0.938
4.000,1.400,-25.250,4.546,1.901,-24.517,1.042
4.000,1.400,-25.375,4.597,1.888,-24.407,1.237
4.000,1.400,-25.500,4.338,2.061,-24.276,1.431
4.000,1.400,-25.625,4.377,1.942,-24.617,1.205
4.000,1.400,-25.750,4.464,1.953,-25.031,1.019
4.000,1.400,-25.875,4.553,2.055,-24.817,1.362
4.000,1.400,-26.000,4.202,1.885,-25.136,1.011
4.000,1.400,-26.125,4.663,1.978,-24.645,1.721
4.000,1.400,-26.250,4.480,2.035,-24.955,1.520
4.000,1.400,-26.375,4.328,2.144,-25.379,1.286
4.000,1.400,-26.500,4.453,1.835,-25.326,1.331
4.000,1.400,-26.625,4.348,2.040,-25.789,1.109
4.000,1.400,-26.750,4.274,1.996,-25.890,1.081
4.000,1.400,-26.875,4.329,2.034,-26.123,1.037
4.000,1.400,-27.000,4.304,1.938,-26.329,0.912
4.000,1.400,-27.000,4.557,2.094,-26.714,0.935
4.113,1.400,-27.000,4.222,2.070,-26.646,0.766
4.225,1.400,-27.000,4.661,2.060,-26.326,1.039
4.338,1.400,-27.000,4.859,1.917,-25.762,1.439
4.450,1.400,-27.000,4.251,2.106,-26.451,0.917
4.563,1.400,-27.000,4.796,1.830,-26.232,0.911
4.675,1.400,-27.000,4.828,1.931,-26.492,0.751
4.788,1.400,-27.000,4.861,2.060,-25.718,1.443
4.900,1.400,-27.000,4.627,1.942,-25.813,1.333
5.013,1.400,-27.000,5.174,1.914,-25.924,1.203
5.125,1.400,-27.000,4.892,1.948,-26.338,0.890
5.238,1.400,-27.000,4.987,1.973,-26.666,0.709
5.350,1.400,-27.000,5.045,1.925,-26.088,1.096
5.463,1.400,-27.000,5.172,1.873,-25.967,1.172
5.575,1.400,-27.000,5.044,2.064,-25.959,1.344
5.688,1.400,-27.000,5.424,1.942,-26.118,1.068
5.800,1.400,-27.000,5.394,2.039,-25.904,1.332
5.913,1.400,-27.000,5.392,1.732,-25.651,1.484
6.025,1.400,-27.000,5.617,1.907,-26.062,1.141
6.138,1.400,-27.000,5.429,1.876,-25.358,1.851
6.250,1.400,-27.000,5.259,2.093,-25.834,1.680
6.363,1.400,-27.000,5.098,1.963,-25.283,2.205
6.475,1.400,-27.000,5.620,1.882,-25.410,1.869
6.588,1.400,-27.000,5.683,2.044,-25.289,2.040
6.700,1.400,-27.000,5.885,1.900,-25.373,1.887
6.700,1.400,-27.000,5.963,1.924,-25.266,1.956
6.700,1.400,-26.824,6.147,1.754,-25.118,1.828
6.700,1.400,-26.647,6.184,1.754,-24.236,2.491
6.700,1.400,-26.471,6.258,1.710,-24.174,2.359
6.700,1.400,-26.294,6.172,1.909,-24.800,1.665
6.700,1.400,-26.118,6.024,1.810,-24.604,1.707
6.700,1.400,-25.941,6.492,1.728,-24.758,1.245
6.700,1.400,-25.765,6.037,1.792,-24.380,1.585
6.700,1.400,-25.588,6.144,1.722,-24.345,1.399
6.700,1.400,-25.412,6.336,1.778,-23.992,1.513
6.700,1.400,-25.235,6.259,1.898,-23.874,1.515
6.700,1.400,-25.059,6.436,1.890,-23.822,1.356
6.700,1.400,-24.882,6.136,1.884,-24.152,1.042
6.700,1.400,-24.706,6.200,1.838,-23.414,1.453
6.700,1.400,-24.529,6.362,1.716,-23.128,1.476
6.700,1.400,-24.353,6.037,1.857,-23.550,1.137
6.700,1.400,-24.176,6.624,1.795,-23.544,0.750
6.700,1.400,-24.000,5.406,1.908,-23.272,1.569
6.700,1.400,-23.824,6.214,1.720,-22.525,1.423
6.700,1.400,-23.647,5.241,1.915,-22.983,1.684
6.700,1.400,-23.471,5.328,1.853,-22.551,1.713
6.700,1.400,-23.294,6.501,1.738,-22.947,0.524
6.700,1.400,-23.118,6.272,1.725,-23.435,0.624
6.700,1.400,-22.941,5.408,1.832,-22.993,1.363
6.700,1.400,-22.765,6.101,1.801,-23.706,1.186
6.700,1.400,-22.588,6.079,1.834,-22.219,0.843
6.700,1.400,-22.412,6.225,1.727,-23.145,0.933
6.700,1.400,-22.235,6.348,1.694,-22.789,0.719
6.700,1.400,-22.059,6.130,1.815,-22.505,0.834
6.700,1.400,-21.882,6.645,1.666,-22.716,0.876
6.700,1.400,-21.706,6.323,1.755,-22.739,1.156
6.700,1.400,-21.529,6.311,1.757,-22.816,1.391
6.700,1.400,-21.353,6.557,1.722,-22.540,1.238
6.700,1.400,-21.176,6.592,1.822,-22.079,1.002
6.700,1.400,-21.000,6.446,1.795,-21.904,1.019
