2.625,2.412,-22.422,1
2.625,2.412,-22.922,1
2.625,2.412,-23.922,1
1.625,3.412,-33.922,1
5.125,0.912,-21.922,1
4.125,0.912,-22.422,1
3.625,0.912,-22.422,1
3.125,0.912,-22.422,1
2.125,0.912,-22.422,1
2.125,0.912,-22.922,1
0.625,0.912,-22.922,1
-0.875,0.912,-23.422,1
-1.375,0.912,-23.422,1
5.125,4.912,-22.422,1
5.625,5.412,-22.422,1
5.625,5.912,-22.422,1
6.625,6.412,-23.422,1
6.625,1.912,-26.922,1
6.625,1.912,-25.922,1
6.625,2.412,-25.422,1
6.125,2.412,-22.422,1
6.125,2.412,-21.922,1
6.125,2.412,-21.422,1
0.125,0.912,-24.422,1
0.125,0.912,-24.922,1
-0.375,0.912,-24.922,1
1.125,-0.088,-6.922,1
4.625,0.412,-24.922,1
4.625,0.412,-24.422,1
7.125,1.412,-26.422,1
7.125,1.412,-25.922,1
3.125,1.912,-18.422,1
3.125,2.412,-20.422,1
3.125,2.412,-20.922,1
3.125,2.412,-21.422,1
3.125,2.412,-21.922,1
3.125,2.412,-22.422,1
3.125,2.412,-22.922,1
2.625,2.412,-24.422,1
2.625,2.912,-28.422,1
2.625,2.912,-28.922,1
8.625,0.412,-23.922,1
9.125,0.412,-23.922,1
6.625,1.912,-20.922,1
5.625,2.412,-22.922,1
5.625,2.412,-23.422,1
5.625,2.412,-24.422,1
5.125,2.412,-24.422,1
2.625,3.412,-31.922,1
1.625,3.912,-34.922,1
1.625,3.912,-35.422,1
3.125,4.912,-29.922,1
-1.375,1.912,-19.422,1
-1.875,1.912,-19.422,1
6.125,3.912,-24.922,1
5.625,3.912,-27.922,1
3.625,3.912,-32.922,1
4.625,1.412,-27.922,1
4.625,1.412,-27.422,1
4.125,1.412,-26.422,1
4.125,1.912,-24.422,1
4.125,1.912,-23.922,1
4.125,1.912,-23.422,1
4.125,1.912,-22.922,1
4.125,1.912,-22.422,1
4.125,1.912,-21.922,1
4.125,1.912,-21.422,1
3.625,1.912,-21.422,1
3.625,2.412,-21.422,1
3.625,2.412,-20.922,1
3.625,2.412,-20.422,1
3.625,2.412,-19.422,1
3.625,2.412,-18.922,1
3.625,-1.088,-27.422,1
3.125,1.912,-20.422,1
3.125,2.912,-20.422,1
3.125,3.412,-20.422,1
3.125,3.412,-20.922,1
3.125,3.912,-20.922,1
8.625,1.912,-16.922,1
3.125,1.412,-23.922,1
2.625,1.412,-23.922,1
2.125,1.912,-29.422,1
2.125,0.412,-27.422,1
8.625,1.412,-16.422,1
7.125,1.912,-19.422,1
7.625,3.912,-24.922,1
7.625,3.912,-25.422,1
7.625,3.912,-26.422,1
8.125,5.912,-32.422,1
0.625,0.912,-23.922,1
0.125,1.412,-25.922,1
4.125,2.412,-23.922,1
3.625,2.412,-23.922,1
3.625,1.412,-24.422,1
2.625,0.412,-24.922,1
1.625,-1.588,-26.422,1
10.625,4.912,-25.422,1
2.625,1.912,-18.922,1
2.125,0.412,-22.422,1
