GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,3.744,1.785,-24.827,0.947
4.000,1.400,-24.125,3.885,1.842,-24.111,0.457
4.000,1.400,-24.250,3.873,1.599,-24.744,0.548
4.000,1.400,-24.375,4.193,1.442,-24.098,0.341
4.000,1.400,-24.500,3.761,1.738,-24.961,0.619
4.000,1.400,-24.625,3.787,1.959,-24.721,0.606
4.000,1.400,-24.750,3.715,1.987,-25.113,0.746
4.000,1.400,-24.875,3.920,1.244,-25.235,0.400
4.000,1.400,-25.000,3.993,1.851,-26.062,1.154
4.000,1.400,-25.125,3.610,1.655,-25.657,0.707
4.000,1.400,-25.250,4.061,1.664,-25.492,0.363
4.000,1.400,-25.375,3.644,1.831,-25.941,0.796
4.000,1.400,-25.500,3.787,1.995,-25.851,0.723
4.000,1.400,-25.625,3.633,1.962,-25.836,0.704
4.000,1.400,-25.750,3.944,1.615,-25.917,0.278
4.000,1.400,-25.875,3.797,2.303,-25.883,0.925
4.000,1.400,-26.000,3.677,1.660,-26.105,0.427
4.000,1.400,-26.125,3.904,2.000,-26.235,0.617
4.000,1.400,-26.250,4.201,1.532,-26.191,0.247
4.000,1.400,-26.375,3.961,1.806,-26.098,0.493
4.000,1.400,-26.500,4.216,1.966,-26.291,0.641
4.000,1.400,-26.625,4.211,1.872,-26.518,0.528
4.000,1.400,-26.750,4.178,2.098,-26.538,0.751
4.000,1.400,-26.875,4.026,2.324,-27.549,1.144
4.000,1.400,-27.000,3.865,1.757,-27.470,0.606
4.000,1.400,-27.000,4.331,2.013,-26.743,0.742
4.113,1.400,-27.000,3.926,3.446,-27.589,2.137
4.225,1.400,-27.000,4.252,1.957,-27.662,0.866
4.338,1.400,-27.000,4.271,2.240,-27.043,0.844
4.450,1.400,-27.000,4.379,2.137,-26.700,0.799
4.563,1.400,-27.000,4.380,2.319,-27.482,1.053
4.675,1.400,-27.000,4.874,1.763,-27.087,0.423
4.788,1.400,-27.000,4.690,2.199,-27.156,0.820
4.900,1.400,-27.000,4.872,1.882,-27.055,0.485
5.013,1.400,-27.000,5.222,1.763,-26.751,0.487
5.125,1.400,-27.000,4.793,2.042,-27.155,0.739
5.238,1.400,-27.000,5.264,1.492,-26.857,0.172
5.350,1.400,-27.000,5.084,2.108,-27.396,0.853
5.463,1.400,-27.000,4.757,1.540,-26.529,0.859
5.575,1.400,-27.000,5.094,1.846,-26.896,0.665
5.688,1.400,-27.000,5.320,1.657,-26.911,0.457
5.800,1.400,-27.000,5.105,2.452,-27.011,1.261
5.913,1.400,-27.000,5.896,2.002,-26.405,0.847
6.025,1.400,-27.000,5.746,1.807,-27.407,0.640
6.138,1.400,-27.000,5.136,2.096,-26.060,1.540
6.250,1.400,-27.000,5.469,2.145,-26.824,1.094
6.363,1.400,-27.000,5.797,1.673,-27.375,0.732
6.475,1.400,-27.000,5.617,1.984,-26.588,1.117
6.588,1.400,-27.000,5.841,2.019,-26.382,1.150
6.700,1.400,-27.000,6.246,2.005,-26.535,0.888
6.700,1.400,-27.000,5.740,2.273,-26.926,1.300
6.700,1.400,-26.824,6.158,1.846,-25.621,1.392
6.700,1.400,-26.647,6.490,2.040,-27.592,1.160
6.700,1.400,-26.471,5.846,1.767,-24.995,1.744
6.700,1.400,-26.294,6.300,1.463,-25.082,1.278
6.700,1.400,-26.118,6.746,2.199,-27.135,1.294
6.700,1.400,-25.941,6.278,2.071,-25.098,1.157
6.700,1.400,-25.765,6.230,1.716,-24.872,1.058
6.700,1.400,-25.588,5.852,2.160,-24.596,1.511
6.700,1.400,-25.412,6.065,1.905,-25.000,0.910
6.700,1.400,-25.235,6.062,1.956,-25.448,0.873
6.700,1.400,-25.059,5.725,1.812,-23.997,1.499
6.700,1.400,-24.882,5.911,1.786,-24.658,0.906
6.700,1.400,-24.706,6.451,2.534,-24.801,1.165
6.700,1.400,-24.529,6.287,1.987,-24.049,0.864
6.700,1.400,-24.353,6.520,1.874,-23.514,0.980
6.700,1.400,-24.176,6.451,1.350,-22.621,1.576
6.700,1.400,-24.000,6.091,2.046,-22.880,1.429
6.700,1.400,-23.824,6.687,1.938,-22.679,1.265
6.700,1.400,-23.647,6.240,1.290,-24.382,0.874
6.700,1.400,-23.471,6.317,1.846,-23.847,0.698
6.700,1.400,-23.294,6.743,2.422,-22.091,1.579
6.700,1.400,-23.118,5.759,1.823,-25.216,2.338
6.700,1.400,-22.941,5.436,2.522,-23.120,1.700
6.700,1.400,-22.765,6.196,2.454,-22.976,1.187
6.700,1.400,-22.588,6.392,2.180,-22.523,0.841
6.700,1.400,-22.412,6.204,1.839,-23.394,1.185
6.700,1.400,-22.235,6.472,1.587,-21.890,0.454
6.700,1.400,-22.059,6.413,1.578,-22.518,0.570
6.700,1.400,-21.882,6.408,2.205,-22.008,0.866
6.700,1.400,-21.706,6.309,1.481,-21.570,0.422
6.700,1.400,-21.529,6.403,1.261,-21.685,0.363
6.700,1.400,-21.353,6.316,1.896,-22.084,0.963
6.700,1.400,-21.176,6.443,1.912,-22.142,1.123
6.700,1.400,-21.000,6.421,2.000,-22.079,1.265
