GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,3.682,1.592,-24.541,0.656
4.000,1.400,-24.125,3.980,1.888,-24.833,0.860
4.000,1.400,-24.250,4.007,1.600,-25.223,0.994
4.000,1.400,-24.375,3.871,1.685,-24.843,0.562
4.000,1.400,-24.500,4.267,2.397,-24.702,1.051
4.000,1.400,-24.625,3.546,1.787,-25.176,0.812
4.000,1.400,-24.750,3.787,2.037,-24.871,0.682
4.000,1.400,-24.875,3.749,2.000,-24.860,0.650
4.000,1.400,-25.000,3.724,2.015,-25.278,0.729
4.000,1.400,-25.125,3.725,1.485,-25.413,0.407
4.000,1.400,-25.250,3.768,2.062,-24.904,0.782
4.000,1.400,-25.375,3.711,1.264,-25.797,0.529
4.000,1.400,-25.500,3.528,1.927,-25.591,0.713
4.000,1.400,-25.625,3.943,2.451,-25.556,1.055
4.000,1.400,-25.750,3.755,2.314,-26.439,1.171
4.000,1.400,-25.875,3.512,1.504,-25.900,0.500
4.000,1.400,-26.000,3.664,2.139,-25.712,0.861
4.000,1.400,-26.125,3.819,1.804,-25.476,0.785
4.000,1.400,-26.250,3.590,1.850,-26.366,0.619
4.000,1.400,-26.375,4.163,2.439,-26.808,1.138
4.000,1.400,-26.500,4.056,1.646,-26.386,0.277
4.000,1.400,-26.625,3.931,1.888,-26.052,0.756
4.000,1.400,-26.750,4.046,1.283,-26.853,0.162
4.000,1.400,-26.875,4.208,1.985,-27.005,0.634
4.000,1.400,-27.000,4.013,1.676,-26.696,0.411
4.000,1.400,-27.000,4.602,1.858,-27.274,0.804
4.113,1.400,-27.000,4.588,1.469,-27.251,0.542
4.225,1.400,-27.000,4.205,2.092,-27.727,1.005
4.338,1.400,-27.000,4.261,1.504,-27.752,0.763
4.450,1.400,-27.000,4.736,1.795,-27.158,0.513
4.563,1.400,-27.000,4.776,2.007,-27.261,0.695
4.675,1.400,-27.000,4.612,2.228,-27.806,1.158
4.788,1.400,-27.000,4.673,2.341,-27.003,0.948
4.900,1.400,-27.000,4.732,2.235,-27.118,0.859
5.013,1.400,-27.000,4.959,2.477,-26.786,1.100
5.125,1.400,-27.000,4.779,2.273,-27.261,0.975
5.238,1.400,-27.000,4.951,1.771,-27.159,0.494
5.350,1.400,-27.000,5.101,2.224,-27.438,0.966
5.463,1.400,-27.000,4.766,1.747,-27.052,0.780
5.575,1.400,-27.000,4.705,2.534,-26.744,1.452
5.688,1.400,-27.000,5.422,2.148,-27.162,0.810
5.800,1.400,-27.000,5.514,1.512,-27.397,0.502
5.913,1.400,-27.000,5.120,1.418,-26.380,1.006
6.025,1.400,-27.000,5.553,1.858,-27.170,0.679
6.138,1.400,-27.000,5.552,0.940,-27.014,0.745
6.250,1.400,-27.000,5.250,1.455,-26.283,1.232
6.363,1.400,-27.000,5.965,1.993,-27.249,0.756
6.475,1.400,-27.000,5.979,2.245,-26.892,0.986
6.588,1.400,-27.000,6.410,2.088,-27.377,0.804
6.700,1.400,-27.000,5.950,2.127,-26.937,1.046
6.700,1.400,-27.000,5.914,1.569,-27.116,0.812
6.700,1.400,-26.824,6.082,1.746,-25.906,1.159
6.700,1.400,-26.647,6.140,2.051,-26.176,0.980
6.700,1.400,-26.471,6.001,1.898,-25.499,1.296
6.700,1.400,-26.294,6.199,1.950,-24.952,1.535
6.700,1.400,-26.118,6.135,1.552,-24.937,1.318
6.700,1.400,-25.941,6.127,1.601,-26.118,0.632
6.700,1.400,-25.765,6.362,1.912,-25.839,0.618
6.700,1.400,-25.588,6.345,1.513,-24.922,0.763
6.700,1.400,-25.412,6.065,1.416,-24.732,0.931
6.700,1.400,-25.235,6.097,1.929,-25.019,0.831
6.700,1.400,-25.059,6.349,1.551,-25.357,0.485
6.700,1.400,-24.882,6.062,1.294,-25.183,0.713
6.700,1.400,-24.706,6.180,2.312,-24.692,1.050
6.700,1.400,-24.529,6.336,2.144,-24.324,0.853
6.700,1.400,-24.353,6.185,1.871,-24.086,0.747
6.700,1.400,-24.176,6.524,1.469,-23.021,1.171
6.700,1.400,-24.000,6.311,1.614,-23.697,0.538
6.700,1.400,-23.824,6.640,1.557,-22.423,1.411
6.700,1.400,-23.647,6.314,1.684,-23.085,0.739
6.700,1.400,-23.471,6.376,1.850,-20.961,2.571
6.700,1.400,-23.294,6.399,1.997,-22.437,1.087
6.700,1.400,-23.118,5.994,2.388,-23.536,1.284
6.700,1.400,-22.941,5.756,2.178,-22.823,1.229
6.700,1.400,-22.765,5.797,1.725,-24.819,2.267
6.700,1.400,-22.588,6.358,2.228,-22.289,0.945
6.700,1.400,-22.412,6.474,2.057,-22.167,0.736
6.700,1.400,-22.235,6.104,1.854,-22.326,0.755
6.700,1.400,-22.059,6.498,1.646,-21.637,0.528
6.700,1.400,-21.882,6.628,2.097,-21.797,0.705
6.700,1.400,-21.706,6.321,1.584,-22.120,0.591
6.700,1.400,-21.529,6.425,1.590,-22.450,0.980
6.700,1.400,-21.353,6.372,1.615,-21.598,0.462
6.700,1.400,-21.176,6.494,2.260,-22.123,1.295
6.700,1.400,-21.000,6.402,2.844,-21.004,1.475
