GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.351,1.853,-23.606,0.695
4.000,1.400,-24.125,4.856,1.844,-23.190,1.343
4.000,1.400,-24.250,5.067,1.738,-22.912,1.745
4.000,1.400,-24.375,4.878,1.727,-24.095,0.978
4.000,1.400,-24.500,5.552,1.802,-24.095,1.654
4.000,1.400,-24.625,4.668,1.847,-24.221,0.900
4.000,1.400,-24.750,4.727,1.751,-24.183,0.987
4.000,1.400,-24.875,4.480,1.849,-24.338,0.848
4.000,1.400,-25.000,4.961,1.809,-23.853,1.551
4.000,1.400,-25.125,4.872,1.788,-22.680,2.625
4.000,1.400,-25.250,4.469,1.738,-23.789,1.571
4.000,1.400,-25.375,5.255,1.772,-24.048,1.864
4.000,1.400,-25.500,4.222,1.793,-24.182,1.393
4.000,1.400,-25.625,4.020,1.798,-24.099,1.578
4.000,1.400,-25.750,4.701,1.657,-23.035,2.816
4.000,1.400,-25.875,5.585,1.719,-23.022,3.280
4.000,1.400,-26.000,4.559,1.706,-24.093,2.010
4.000,1.400,-26.125,5.061,1.868,-23.172,3.173
4.000,1.400,-26.250,4.447,1.811,-24.076,2.257
4.000,1.400,-26.375,5.662,1.927,-24.302,2.709
4.000,1.400,-26.500,5.202,1.891,-22.740,3.977
4.000,1.400,-26.625,4.512,1.756,-24.730,1.995
4.000,1.400,-26.750,5.991,1.756,-25.539,2.358
4.000,1.400,-26.875,4.964,1.819,-24.100,2.968
4.000,1.400,-27.000,5.221,1.768,-24.199,3.077
4.000,1.400,-27.000,4.750,1.850,-24.632,2.524
4.113,1.400,-27.000,5.952,1.800,-23.563,3.919
4.225,1.400,-27.000,4.731,1.716,-24.812,2.268
4.338,1.400,-27.000,5.092,1.815,-25.471,1.754
4.450,1.400,-27.000,4.802,1.843,-24.675,2.393
4.563,1.400,-27.000,5.744,1.886,-26.099,1.564
4.675,1.400,-27.000,5.082,1.768,-24.710,2.355
4.788,1.400,-27.000,5.378,1.966,-25.905,1.367
4.900,1.400,-27.000,5.399,1.880,-24.994,2.122
5.013,1.400,-27.000,5.531,1.796,-25.073,2.035
5.125,1.400,-27.000,4.949,1.839,-25.039,2.018
5.238,1.400,-27.000,5.066,1.873,-25.623,1.466
5.350,1.400,-27.000,6.113,1.875,-24.342,2.806
5.463,1.400,-27.000,5.993,1.819,-24.315,2.769
5.575,1.400,-27.000,4.443,1.950,-25.295,2.119
5.688,1.400,-27.000,5.542,1.858,-24.714,2.335
5.800,1.400,-27.000,4.153,1.810,-25.251,2.437
5.913,1.400,-27.000,5.562,1.714,-23.914,3.122
6.025,1.400,-27.000,4.389,1.848,-25.576,2.215
6.138,1.400,-27.000,4.353,1.800,-25.660,2.267
6.250,1.400,-27.000,4.427,1.858,-24.299,3.291
6.363,1.400,-27.000,5.293,1.853,-24.269,2.968
6.475,1.400,-27.000,4.822,1.912,-25.232,2.474
6.588,1.400,-27.000,4.569,1.909,-25.361,2.650
6.700,1.400,-27.000,4.096,1.917,-25.276,3.165
6.700,1.400,-27.000,4.835,1.701,-23.760,3.751
6.700,1.400,-26.824,5.136,1.749,-25.570,2.035
6.700,1.400,-26.647,4.729,1.883,-24.251,3.139
6.700,1.400,-26.471,4.956,1.731,-25.832,1.887
6.700,1.400,-26.294,4.890,1.689,-25.486,2.003
6.700,1.400,-26.118,4.437,1.858,-25.185,2.490
6.700,1.400,-25.941,5.099,1.804,-25.028,1.887
6.700,1.400,-25.765,3.917,1.864,-24.665,3.028
6.700,1.400,-25.588,4.261,1.803,-24.652,2.644
6.700,1.400,-25.412,4.959,1.729,-25.096,1.800
6.700,1.400,-25.235,4.359,1.794,-24.916,2.396
6.700,1.400,-25.059,3.844,1.988,-26.196,3.130
6.700,1.400,-24.882,4.385,1.734,-25.616,2.451
6.700,1.400,-24.706,4.948,1.858,-25.935,2.189
6.700,1.400,-24.529,5.112,1.942,-25.703,2.047
6.700,1.400,-24.353,4.370,1.822,-25.425,2.599
6.700,1.400,-24.176,4.373,1.706,-25.049,2.504
6.700,1.400,-24.000,3.667,1.871,-24.629,3.133
6.700,1.400,-23.824,5.044,1.757,-24.251,1.747
6.700,1.400,-23.647,4.003,1.780,-24.620,2.892
6.700,1.400,-23.471,5.031,1.837,-24.551,2.036
6.700,1.400,-23.294,3.985,1.835,-25.485,3.516
6.700,1.400,-23.118,4.396,1.971,-25.285,3.214
6.700,1.400,-22.941,4.365,1.804,-24.082,2.630
6.700,1.400,-22.765,3.679,1.908,-24.862,3.712
6.700,1.400,-22.588,4.348,1.888,-24.442,3.034
6.700,1.400,-22.412,4.203,1.794,-23.972,2.971
6.700,1.400,-22.235,3.989,1.788,-24.135,3.333
6.700,1.400,-22.059,4.307,1.818,-24.288,3.297
6.700,1.400,-21.882,4.530,1.811,-24.583,3.489
6.700,1.400,-21.706,4.028,1.867,-24.934,4.216
6.700,1.400,-21.529,4.622,1.830,-24.311,3.498
6.700,1.400,-21.353,3.911,1.715,-23.749,3.691
6.700,1.400,-21.176,4.496,1.852,-23.845,3.490
6.700,1.400,-21.000,4.084,1.874,-25.067,4.858
