GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,6.411,1.887,-21.873,3.252
4.000,1.400,-24.125,6.223,1.991,-22.106,3.061
4.000,1.400,-24.250,6.301,2.008,-21.832,3.393
4.000,1.400,-24.375,6.284,2.016,-22.473,3.036
4.000,1.400,-24.500,6.340,2.093,-21.761,3.668
4.000,1.400,-24.625,6.397,1.916,-22.160,3.476
4.000,1.400,-24.750,6.410,2.103,-22.174,3.597
4.000,1.400,-24.875,6.460,2.081,-22.331,3.604
4.000,1.400,-25.000,6.381,2.076,-22.767,3.333
4.000,1.400,-25.125,5.972,2.168,-22.945,3.038
4.000,1.400,-25.250,5.784,1.901,-24.215,2.122
4.000,1.400,-25.375,6.262,2.064,-21.841,4.248
4.000,1.400,-25.500,5.576,2.006,-24.151,2.161
4.000,1.400,-25.625,6.450,1.997,-22.835,3.761
4.000,1.400,-25.750,6.305,2.074,-21.966,4.482
4.000,1.400,-25.875,5.915,1.983,-24.485,2.437
4.000,1.400,-26.000,6.530,1.957,-22.486,4.366
4.000,1.400,-26.125,6.039,1.904,-22.536,4.158
4.000,1.400,-26.250,6.629,2.014,-22.883,4.316
4.000,1.400,-26.375,6.130,1.868,-24.009,3.218
4.000,1.400,-26.500,6.236,1.952,-23.223,4.006
4.000,1.400,-26.625,6.085,2.012,-24.098,3.333
4.000,1.400,-26.750,6.133,2.173,-24.653,3.090
4.000,1.400,-26.875,6.274,2.045,-24.364,3.449
4.000,1.400,-27.000,6.222,1.869,-23.957,3.797
4.000,1.400,-27.000,6.278,2.016,-24.568,3.389
4.113,1.400,-27.000,6.055,2.174,-24.361,3.367
4.225,1.400,-27.000,6.154,2.179,-25.257,2.714
4.338,1.400,-27.000,5.831,2.142,-24.766,2.788
4.450,1.400,-27.000,6.106,1.959,-25.175,2.527
4.563,1.400,-27.000,6.259,2.215,-25.233,2.582
4.675,1.400,-27.000,6.263,2.122,-25.486,2.310
4.788,1.400,-27.000,5.719,2.211,-25.109,2.259
4.900,1.400,-27.000,6.104,1.994,-25.393,2.094
5.013,1.400,-27.000,6.377,1.944,-25.817,1.886
5.125,1.400,-27.000,5.845,2.003,-26.184,1.244
5.238,1.400,-27.000,6.017,2.144,-26.433,1.218
5.350,1.400,-27.000,5.742,2.299,-26.003,1.398
5.463,1.400,-27.000,5.817,1.971,-26.089,1.132
5.575,1.400,-27.000,5.885,2.223,-26.435,1.045
5.688,1.400,-27.000,5.888,2.035,-26.316,0.955
5.800,1.400,-27.000,5.511,2.092,-25.675,1.522
5.913,1.400,-27.000,5.801,2.179,-26.531,0.916
6.025,1.400,-27.000,5.344,2.125,-26.924,0.997
6.138,1.400,-27.000,5.202,2.278,-26.520,1.370
6.250,1.400,-27.000,5.431,2.273,-27.495,1.295
6.363,1.400,-27.000,5.052,1.945,-26.643,1.464
6.475,1.400,-27.000,5.188,2.087,-27.329,1.496
6.588,1.400,-27.000,5.318,2.202,-27.018,1.502
6.700,1.400,-27.000,5.070,2.162,-27.360,1.835
6.700,1.400,-27.000,4.798,2.188,-27.232,2.072
6.700,1.400,-26.824,5.099,2.155,-27.297,1.832
6.700,1.400,-26.647,4.695,1.998,-27.245,2.176
6.700,1.400,-26.471,4.704,2.150,-27.059,2.212
6.700,1.400,-26.294,4.608,2.055,-27.241,2.388
6.700,1.400,-26.118,4.546,1.911,-26.546,2.255
6.700,1.400,-25.941,4.438,2.330,-26.955,2.648
6.700,1.400,-25.765,4.352,2.139,-27.024,2.765
6.700,1.400,-25.588,4.667,2.034,-27.025,2.569
6.700,1.400,-25.412,4.194,1.900,-26.838,2.926
6.700,1.400,-25.235,3.846,2.175,-26.627,3.268
6.700,1.400,-25.059,4.011,2.106,-27.014,3.398
6.700,1.400,-24.882,3.943,2.201,-26.607,3.350
6.700,1.400,-24.706,4.388,2.081,-26.027,2.748
6.700,1.400,-24.529,4.135,2.229,-26.395,3.279
6.700,1.400,-24.353,3.881,2.067,-26.233,3.454
6.700,1.400,-24.176,3.690,2.268,-26.678,4.010
6.700,1.400,-24.000,4.082,2.084,-25.661,3.175
6.700,1.400,-23.824,3.781,2.051,-25.740,3.552
6.700,1.400,-23.647,4.134,2.070,-25.641,3.318
6.700,1.400,-23.471,4.069,1.983,-25.295,3.255
6.700,1.400,-23.294,3.925,1.995,-25.026,3.325
6.700,1.400,-23.118,3.967,2.190,-24.899,3.357
6.700,1.400,-22.941,4.434,2.121,-24.112,2.651
6.700,1.400,-22.765,3.791,2.072,-25.185,3.843
6.700,1.400,-22.588,3.767,2.027,-24.364,3.485
6.700,1.400,-22.412,4.414,1.979,-24.897,3.426
6.700,1.400,-22.235,4.373,2.081,-24.406,3.254
6.700,1.400,-22.059,4.177,2.020,-24.377,3.482
6.700,1.400,-21.882,4.032,2.139,-24.624,3.896
6.700,1.400,-21.706,4.742,2.084,-24.218,3.258
6.700,1.400,-21.529,3.824,2.383,-24.780,4.450
6.700,1.400,-21.353,4.279,2.177,-24.837,4.313
6.700,1.400,-21.176,4.331,2.060,-24.428,4.076
6.700,1.400,-21.000,3.654,2.161,-23.900,4.274
