GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,6.670,1.688,-22.473,3.089
4.000,1.400,-24.125,6.484,1.493,-22.022,3.256
4.000,1.400,-24.250,6.521,1.639,-22.627,3.008
4.000,1.400,-24.375,6.536,1.675,-23.297,2.769
4.000,1.400,-24.500,6.919,1.635,-22.749,3.412
4.000,1.400,-24.625,6.636,1.648,-22.427,3.441
4.000,1.400,-24.750,6.772,1.674,-22.971,3.305
4.000,1.400,-24.875,6.956,1.624,-23.042,3.486
4.000,1.400,-25.000,6.975,1.669,-22.907,3.647
4.000,1.400,-25.125,6.702,1.677,-23.213,3.322
4.000,1.400,-25.250,6.589,1.721,-23.960,2.910
4.000,1.400,-25.375,5.392,1.601,-23.656,2.221
4.000,1.400,-25.500,6.445,1.729,-23.796,2.998
4.000,1.400,-25.625,6.820,1.536,-23.674,3.432
4.000,1.400,-25.750,4.922,1.744,-23.016,2.906
4.000,1.400,-25.875,6.774,1.641,-23.515,3.650
4.000,1.400,-26.000,6.615,1.603,-23.261,3.792
4.000,1.400,-26.125,5.358,1.684,-23.449,3.015
4.000,1.400,-26.250,7.048,1.665,-23.393,4.186
4.000,1.400,-26.375,6.805,1.705,-23.944,3.724
4.000,1.400,-26.500,6.690,1.517,-22.844,4.541
4.000,1.400,-26.625,6.694,1.800,-23.350,4.259
4.000,1.400,-26.750,6.791,1.550,-23.800,4.064
4.000,1.400,-26.875,6.881,1.508,-24.472,3.753
4.000,1.400,-27.000,6.714,1.734,-23.883,4.146
4.000,1.400,-27.000,6.728,1.691,-24.578,3.659
4.113,1.400,-27.000,7.181,1.560,-23.693,4.514
4.225,1.400,-27.000,6.801,1.629,-24.317,3.726
4.338,1.400,-27.000,7.204,1.729,-24.387,3.893
4.450,1.400,-27.000,6.726,1.630,-24.456,3.422
4.563,1.400,-27.000,6.280,1.759,-24.776,2.833
4.675,1.400,-27.000,7.127,1.447,-24.297,3.650
4.788,1.400,-27.000,6.392,1.573,-24.274,3.168
4.900,1.400,-27.000,6.630,1.601,-24.853,2.765
5.013,1.400,-27.000,6.453,1.756,-24.637,2.791
5.125,1.400,-27.000,6.385,1.788,-25.311,2.143
5.238,1.400,-27.000,6.086,1.716,-25.367,1.868
5.350,1.400,-27.000,5.715,1.756,-25.475,1.609
5.463,1.400,-27.000,6.074,1.853,-25.455,1.723
5.575,1.400,-27.000,5.318,1.825,-25.581,1.503
5.688,1.400,-27.000,5.881,1.852,-25.315,1.756
5.800,1.400,-27.000,5.098,1.695,-25.249,1.909
5.913,1.400,-27.000,5.247,1.891,-25.134,2.041
6.025,1.400,-27.000,5.366,1.670,-26.024,1.208
6.138,1.400,-27.000,5.413,1.724,-26.017,1.263
6.250,1.400,-27.000,5.572,1.770,-26.122,1.170
6.363,1.400,-27.000,5.523,1.725,-25.967,1.370
6.475,1.400,-27.000,5.509,1.775,-25.830,1.563
6.588,1.400,-27.000,5.337,1.793,-26.366,1.456
6.700,1.400,-27.000,5.215,1.786,-26.511,1.610
6.700,1.400,-27.000,5.320,1.737,-25.548,2.032
6.700,1.400,-26.824,4.777,1.908,-26.067,2.128
6.700,1.400,-26.647,5.180,1.782,-26.662,1.567
6.700,1.400,-26.471,5.461,1.802,-25.791,1.469
6.700,1.400,-26.294,5.179,1.777,-25.828,1.635
6.700,1.400,-26.118,4.790,1.615,-26.513,1.963
6.700,1.400,-25.941,4.927,1.718,-26.537,1.898
6.700,1.400,-25.765,4.735,1.810,-26.080,2.032
6.700,1.400,-25.588,4.650,1.815,-26.932,2.486
6.700,1.400,-25.412,4.698,1.639,-25.880,2.070
6.700,1.400,-25.235,4.264,1.881,-26.100,2.629
6.700,1.400,-25.059,4.673,1.860,-27.023,2.860
6.700,1.400,-24.882,4.656,1.738,-25.478,2.155
6.700,1.400,-24.706,4.376,1.807,-25.537,2.502
6.700,1.400,-24.529,5.075,1.882,-25.873,2.163
6.700,1.400,-24.353,4.716,1.653,-25.141,2.149
6.700,1.400,-24.176,4.463,1.953,-25.595,2.706
6.700,1.400,-24.000,4.465,1.801,-25.449,2.693
6.700,1.400,-23.824,4.705,1.742,-24.951,2.316
6.700,1.400,-23.647,4.495,1.802,-25.264,2.763
6.700,1.400,-23.471,4.424,1.711,-25.331,2.956
6.700,1.400,-23.294,4.563,1.751,-24.827,2.653
6.700,1.400,-23.118,4.633,1.749,-24.908,2.756
6.700,1.400,-22.941,4.925,1.711,-24.636,2.474
6.700,1.400,-22.765,4.584,1.805,-24.806,2.967
6.700,1.400,-22.588,4.443,1.773,-24.414,2.926
6.700,1.400,-22.412,4.835,1.786,-24.474,2.807
6.700,1.400,-22.235,5.176,1.905,-24.156,2.503
6.700,1.400,-22.059,4.138,1.759,-24.045,3.262
6.700,1.400,-21.882,4.896,1.681,-23.971,2.774
6.700,1.400,-21.706,4.463,1.805,-23.720,3.037
6.700,1.400,-21.529,4.604,1.636,-23.654,2.994
6.700,1.400,-21.353,4.612,1.945,-23.777,3.245
6.700,1.400,-21.176,4.814,1.653,-24.007,3.411
6.700,1.400,-21.000,3.942,1.752,-24.045,4.123
