GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,5.528,2.054,-22.995,1.942
4.000,1.400,-24.125,5.530,1.953,-23.457,1.758
4.000,1.400,-24.250,5.610,2.139,-22.899,2.228
4.000,1.400,-24.375,5.617,2.019,-23.480,1.949
4.000,1.400,-24.500,5.623,1.964,-23.163,2.177
4.000,1.400,-24.625,5.534,1.976,-23.143,2.210
4.000,1.400,-24.750,5.809,2.107,-22.821,2.737
4.000,1.400,-24.875,5.241,2.006,-23.213,2.161
4.000,1.400,-25.000,5.469,2.066,-23.461,2.229
4.000,1.400,-25.125,5.389,2.050,-23.818,2.015
4.000,1.400,-25.250,5.218,2.190,-23.752,2.086
4.000,1.400,-25.375,5.382,1.997,-23.449,2.445
4.000,1.400,-25.500,5.097,2.016,-23.994,1.962
4.000,1.400,-25.625,5.935,1.971,-23.886,2.664
4.000,1.400,-25.750,5.121,2.096,-23.224,2.850
4.000,1.400,-25.875,5.549,1.996,-23.711,2.727
4.000,1.400,-26.000,5.569,1.982,-23.721,2.827
4.000,1.400,-26.125,5.214,2.293,-23.469,3.054
4.000,1.400,-26.250,5.703,2.022,-23.288,3.473
4.000,1.400,-26.375,5.540,2.137,-23.512,3.333
4.000,1.400,-26.500,5.297,2.068,-23.518,3.319
4.000,1.400,-26.625,5.193,1.901,-23.484,3.397
4.000,1.400,-26.750,5.230,2.111,-24.049,3.052
4.000,1.400,-26.875,5.382,2.249,-23.921,3.370
4.000,1.400,-27.000,5.663,1.919,-23.935,3.526
4.000,1.400,-27.000,5.767,2.027,-23.501,3.970
4.113,1.400,-27.000,5.168,2.037,-23.826,3.405
4.225,1.400,-27.000,5.708,1.975,-23.796,3.577
4.338,1.400,-27.000,5.396,1.957,-24.214,3.032
4.450,1.400,-27.000,5.576,1.949,-24.412,2.875
4.563,1.400,-27.000,5.597,1.979,-23.987,3.237
4.675,1.400,-27.000,5.278,2.014,-24.091,3.034
4.788,1.400,-27.000,4.923,2.073,-24.121,2.960
4.900,1.400,-27.000,5.348,2.045,-24.287,2.824
5.013,1.400,-27.000,5.292,2.110,-24.625,2.494
5.125,1.400,-27.000,5.298,2.064,-24.308,2.778
5.238,1.400,-27.000,5.402,2.017,-24.198,2.874
5.350,1.400,-27.000,4.947,2.069,-24.457,2.660
5.463,1.400,-27.000,5.147,2.089,-23.749,3.338
5.575,1.400,-27.000,5.201,2.100,-24.525,2.599
5.688,1.400,-27.000,5.203,2.037,-24.667,2.466
5.800,1.400,-27.000,5.306,1.960,-23.518,3.561
5.913,1.400,-27.000,4.940,2.148,-24.343,2.927
6.025,1.400,-27.000,4.950,1.820,-24.484,2.769
6.138,1.400,-27.000,5.142,2.166,-24.580,2.726
6.250,1.400,-27.000,5.460,2.039,-24.421,2.772
6.363,1.400,-27.000,4.846,2.021,-25.027,2.565
6.475,1.400,-27.000,5.200,2.193,-24.184,3.191
6.588,1.400,-27.000,4.965,1.984,-24.969,2.665
6.700,1.400,-27.000,5.035,2.295,-24.700,2.977
6.700,1.400,-27.000,5.109,2.097,-24.273,3.233
6.700,1.400,-26.824,5.084,2.008,-24.728,2.715
6.700,1.400,-26.647,4.860,2.268,-24.821,2.734
6.700,1.400,-26.471,5.435,2.076,-24.280,2.618
6.700,1.400,-26.294,4.968,1.899,-23.973,2.939
6.700,1.400,-26.118,5.120,2.159,-23.961,2.779
6.700,1.400,-25.941,4.323,2.005,-24.625,2.783
6.700,1.400,-25.765,4.820,1.982,-24.194,2.518
6.700,1.400,-25.588,4.985,2.210,-24.832,2.041
6.700,1.400,-25.412,4.816,2.014,-24.481,2.189
6.700,1.400,-25.235,4.807,2.151,-24.650,2.119
6.700,1.400,-25.059,4.594,2.060,-24.875,2.215
6.700,1.400,-24.882,4.636,2.087,-24.671,2.186
6.700,1.400,-24.706,4.994,2.112,-24.250,1.904
6.700,1.400,-24.529,4.862,2.225,-24.443,2.016
6.700,1.400,-24.353,4.435,2.236,-23.718,2.497
6.700,1.400,-24.176,4.899,2.285,-24.350,2.014
6.700,1.400,-24.000,4.816,2.070,-24.486,2.058
6.700,1.400,-23.824,4.959,2.078,-24.140,1.895
6.700,1.400,-23.647,5.030,2.224,-24.232,1.952
6.700,1.400,-23.471,4.844,2.236,-24.426,2.249
6.700,1.400,-23.294,4.816,2.094,-24.346,2.267
6.700,1.400,-23.118,4.860,2.165,-24.298,2.316
6.700,1.400,-22.941,4.793,2.084,-23.920,2.250
6.700,1.400,-22.765,4.584,2.154,-23.808,2.477
6.700,1.400,-22.588,4.395,2.089,-23.710,2.654
6.700,1.400,-22.412,4.907,2.030,-24.199,2.609
6.700,1.400,-22.235,5.150,1.976,-23.752,2.244
6.700,1.400,-22.059,4.621,2.148,-23.679,2.740
6.700,1.400,-21.882,4.714,2.046,-23.630,2.723
6.700,1.400,-21.706,5.144,1.999,-24.070,2.893
6.700,1.400,-21.529,4.801,2.074,-23.613,2.898
6.700,1.400,-21.353,4.682,2.112,-24.051,3.443
6.700,1.400,-21.176,5.132,2.194,-23.610,3.002
6.700,1.400,-21.000,4.563,2.177,-23.679,3.514
