GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,3.870,2.014,-24.246,0.674
4.000,1.400,-24.125,3.789,1.983,-24.686,0.836
4.000,1.400,-24.250,3.839,2.007,-24.737,0.795
4.000,1.400,-24.375,3.790,1.784,-24.689,0.539
4.000,1.400,-24.500,3.701,1.897,-25.027,0.784
4.000,1.400,-24.625,3.828,1.930,-24.921,0.631
4.000,1.400,-24.750,3.814,2.002,-24.978,0.670
4.000,1.400,-24.875,3.726,1.860,-25.032,0.558
4.000,1.400,-25.000,3.938,1.749,-25.197,0.405
4.000,1.400,-25.125,3.775,1.771,-25.323,0.477
4.000,1.400,-25.250,3.739,1.881,-25.166,0.553
4.000,1.400,-25.375,3.697,1.927,-25.405,0.609
4.000,1.400,-25.500,3.727,1.868,-25.535,0.542
4.000,1.400,-25.625,3.937,1.794,-25.714,0.409
4.000,1.400,-25.750,3.781,1.702,-25.749,0.373
4.000,1.400,-25.875,3.847,1.801,-25.793,0.437
4.000,1.400,-26.000,3.834,1.951,-25.947,0.578
4.000,1.400,-26.125,3.872,1.630,-26.095,0.265
4.000,1.400,-26.250,3.872,2.038,-25.911,0.733
4.000,1.400,-26.375,4.011,1.696,-26.283,0.310
4.000,1.400,-26.500,4.054,1.853,-26.329,0.488
4.000,1.400,-26.625,4.133,1.783,-26.594,0.406
4.000,1.400,-26.750,4.167,2.010,-26.795,0.634
4.000,1.400,-26.875,4.265,2.230,-27.058,0.890
4.000,1.400,-27.000,4.212,2.080,-27.045,0.714
4.000,1.400,-27.000,4.191,2.131,-27.234,0.791
4.113,1.400,-27.000,4.307,2.005,-27.233,0.677
4.225,1.400,-27.000,4.360,2.007,-27.201,0.653
4.338,1.400,-27.000,4.476,2.083,-27.157,0.715
4.450,1.400,-27.000,4.515,2.155,-27.340,0.830
4.563,1.400,-27.000,4.509,2.234,-27.302,0.889
4.675,1.400,-27.000,4.731,1.748,-27.245,0.429
4.788,1.400,-27.000,4.550,1.950,-27.194,0.629
4.900,1.400,-27.000,4.690,2.004,-27.298,0.706
5.013,1.400,-27.000,4.795,1.929,-27.351,0.671
5.125,1.400,-27.000,4.787,2.047,-27.304,0.791
5.238,1.400,-27.000,4.998,2.103,-27.057,0.744
5.350,1.400,-27.000,4.949,1.930,-27.154,0.682
5.463,1.400,-27.000,4.907,2.015,-27.005,0.829
5.575,1.400,-27.000,5.186,1.957,-27.129,0.691
5.688,1.400,-27.000,5.321,2.016,-26.949,0.719
5.800,1.400,-27.000,5.481,1.879,-27.195,0.608
5.913,1.400,-27.000,5.413,1.899,-27.036,0.707
6.025,1.400,-27.000,5.522,1.945,-27.151,0.757
6.138,1.400,-27.000,5.435,1.806,-26.407,1.005
6.250,1.400,-27.000,5.631,2.093,-26.702,0.976
6.363,1.400,-27.000,5.699,1.824,-26.887,0.795
6.475,1.400,-27.000,5.826,1.877,-26.728,0.850
6.588,1.400,-27.000,5.894,1.922,-26.687,0.922
6.700,1.400,-27.000,6.291,2.091,-27.204,0.828
6.700,1.400,-27.000,6.136,2.006,-26.717,0.875
6.700,1.400,-26.824,6.200,2.114,-26.526,0.921
6.700,1.400,-26.647,6.213,1.752,-26.385,0.655
6.700,1.400,-26.471,5.959,1.828,-25.623,1.204
6.700,1.400,-26.294,6.070,1.874,-26.165,0.799
6.700,1.400,-26.118,6.056,2.006,-25.587,1.032
6.700,1.400,-25.941,6.272,2.043,-25.509,0.885
6.700,1.400,-25.765,6.299,1.851,-25.195,0.830
6.700,1.400,-25.588,6.262,1.848,-25.238,0.718
6.700,1.400,-25.412,6.186,1.821,-24.893,0.843
6.700,1.400,-25.235,6.224,1.970,-24.765,0.879
6.700,1.400,-25.059,6.261,1.879,-24.680,0.752
6.700,1.400,-24.882,6.334,1.848,-24.604,0.642
6.700,1.400,-24.706,6.189,1.906,-24.444,0.766
6.700,1.400,-24.529,6.177,1.767,-24.058,0.794
6.700,1.400,-24.353,6.171,1.945,-23.897,0.885
6.700,1.400,-24.176,6.691,1.808,-22.666,1.565
6.700,1.400,-24.000,6.347,1.909,-23.174,1.032
6.700,1.400,-23.824,6.744,1.952,-22.433,1.496
6.700,1.400,-23.647,6.306,1.848,-23.319,0.681
6.700,1.400,-23.471,6.381,2.146,-22.994,0.941
6.700,1.400,-23.294,6.513,1.789,-22.517,0.889
6.700,1.400,-23.118,5.931,1.673,-23.890,1.123
6.700,1.400,-22.941,5.893,2.167,-22.618,1.160
6.700,1.400,-22.765,6.059,1.869,-24.227,1.664
6.700,1.400,-22.588,6.389,1.983,-22.328,0.710
6.700,1.400,-22.412,6.419,2.005,-22.090,0.741
6.700,1.400,-22.235,6.548,1.871,-22.073,0.521
6.700,1.400,-22.059,6.438,2.016,-22.121,0.672
6.700,1.400,-21.882,6.629,1.939,-22.118,0.592
6.700,1.400,-21.706,6.435,1.999,-21.904,0.685
6.700,1.400,-21.529,6.415,1.998,-22.110,0.881
6.700,1.400,-21.353,6.447,1.935,-21.921,0.820
6.700,1.400,-21.176,6.525,2.004,-21.825,0.903
6.700,1.400,-21.000,6.188,1.965,-22.025,1.277
