GT_X,GT_Y,GT_Z,EST_X,EST_Y,EST_Z,Error
4.000,1.400,-24.000,4.367,1.625,-24.884,0.983
4.000,1.400,-24.125,4.381,1.631,-24.716,0.741
4.000,1.400,-24.250,4.370,1.534,-24.426,0.431
4.000,1.400,-24.375,4.371,1.846,-24.799,0.719
4.000,1.400,-24.500,3.856,1.630,-24.948,0.524
4.000,1.400,-24.625,4.254,1.609,-24.489,0.355
4.000,1.400,-24.750,3.898,1.871,-24.108,0.802
4.000,1.400,-24.875,4.014,1.816,-24.530,0.541
4.000,1.400,-25.000,3.584,1.845,-24.442,0.826
4.000,1.400,-25.125,4.087,1.765,-24.342,0.868
4.000,1.400,-25.250,3.744,1.912,-25.171,0.577
4.000,1.400,-25.375,3.652,1.891,-24.153,1.362
4.000,1.400,-25.500,3.603,1.870,-23.961,1.657
4.000,1.400,-25.625,3.383,1.553,-24.462,1.325
4.000,1.400,-25.750,4.107,1.658,-23.625,2.143
4.000,1.400,-25.875,3.489,1.700,-24.736,1.284
4.000,1.400,-26.000,3.265,1.606,-24.407,1.766
4.000,1.400,-26.125,3.750,1.453,-24.234,1.908
4.000,1.400,-26.250,3.559,1.419,-24.756,1.558
4.000,1.400,-26.375,3.560,1.444,-24.427,1.997
4.000,1.400,-26.500,3.422,1.422,-24.699,1.892
4.000,1.400,-26.625,2.725,1.538,-24.413,2.557
4.000,1.400,-26.750,3.383,1.390,-23.921,2.895
4.000,1.400,-26.875,5.267,1.220,-24.782,2.453
4.000,1.400,-27.000,4.910,1.307,-24.671,2.502
4.000,1.400,-27.000,6.163,1.123,-24.699,3.170
4.113,1.400,-27.000,4.810,1.279,-24.957,2.162
4.225,1.400,-27.000,5.687,1.162,-24.810,2.644
4.338,1.400,-27.000,5.272,1.264,-24.315,2.846
4.450,1.400,-27.000,5.089,1.313,-25.441,1.687
4.563,1.400,-27.000,4.774,1.315,-25.624,1.395
4.675,1.400,-27.000,4.394,1.332,-25.267,1.757
4.788,1.400,-27.000,4.347,1.423,-25.666,1.405
4.900,1.400,-27.000,4.467,1.474,-25.264,1.791
5.013,1.400,-27.000,4.300,1.338,-26.175,1.092
5.125,1.400,-27.000,3.847,1.524,-25.624,1.882
5.238,1.400,-27.000,3.977,1.357,-25.390,2.045
5.350,1.400,-27.000,3.856,1.330,-25.849,1.887
5.463,1.400,-27.000,3.633,1.520,-24.774,2.884
5.575,1.400,-27.000,3.775,1.489,-25.121,2.604
5.688,1.400,-27.000,4.442,1.591,-25.210,2.189
5.800,1.400,-27.000,4.153,1.655,-24.556,2.958
5.913,1.400,-27.000,4.375,1.534,-25.513,2.143
6.025,1.400,-27.000,5.201,1.631,-24.892,2.275
6.138,1.400,-27.000,6.409,1.821,-26.425,0.763
6.250,1.400,-27.000,7.144,1.890,-26.238,1.272
6.363,1.400,-27.000,6.641,2.025,-26.572,0.807
6.475,1.400,-27.000,6.379,1.722,-26.353,0.729
6.588,1.400,-27.000,7.138,1.675,-26.607,0.731
6.700,1.400,-27.000,7.049,1.661,-26.500,0.663
6.700,1.400,-27.000,6.756,1.696,-25.968,1.076
6.700,1.400,-26.824,5.286,1.525,-24.468,2.750
6.700,1.400,-26.647,5.321,1.512,-23.729,3.230
6.700,1.400,-26.471,5.589,1.426,-24.298,2.440
6.700,1.400,-26.294,5.763,1.376,-23.965,2.511
6.700,1.400,-26.118,5.912,1.495,-23.470,2.765
6.700,1.400,-25.941,5.765,1.532,-23.033,3.057
6.700,1.400,-25.765,5.818,1.371,-22.448,3.432
6.700,1.400,-25.588,5.609,1.710,-24.335,1.690
6.700,1.400,-25.412,5.753,1.551,-20.655,4.852
6.700,1.400,-25.235,6.100,1.662,-21.343,3.947
6.700,1.400,-25.059,5.673,1.458,-21.051,4.138
6.700,1.400,-24.882,6.888,1.674,-23.608,1.317
6.700,1.400,-24.706,5.629,1.703,-24.392,1.157
6.700,1.400,-24.529,5.523,1.762,-22.901,2.041
6.700,1.400,-24.353,6.586,1.694,-23.388,1.015
6.700,1.400,-24.176,5.732,1.318,-21.940,2.439
6.700,1.400,-24.000,5.279,1.433,-22.041,2.420
6.700,1.400,-23.824,5.935,1.373,-21.382,2.559
6.700,1.400,-23.647,5.114,1.507,-22.065,2.243
6.700,1.400,-23.471,5.674,1.590,-21.205,2.495
6.700,1.400,-23.294,6.300,1.410,-20.853,2.474
6.700,1.400,-23.118,5.721,1.511,-20.438,2.855
6.700,1.400,-22.941,3.726,1.732,-22.268,3.067
6.700,1.400,-22.765,5.799,1.829,-20.779,2.222
6.700,1.400,-22.588,6.018,1.370,-21.697,1.122
6.700,1.400,-22.412,5.901,1.442,-21.135,1.506
6.700,1.400,-22.235,5.889,1.496,-21.234,1.292
6.700,1.400,-22.059,5.917,1.484,-20.908,1.395
6.700,1.400,-21.882,5.633,1.257,-22.245,1.136
6.700,1.400,-21.706,5.202,1.378,-21.870,1.508
6.700,1.400,-21.529,5.191,1.429,-22.489,1.788
6.700,1.400,-21.353,4.957,1.397,-22.433,2.051
6.700,1.400,-21.176,5.133,1.318,-22.359,1.964
6.700,1.400,-21.000,5.222,1.511,-22.573,2.161
